,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound,cleaned_text,predicted_sentiment,sentiment_score,predicted_rating,true_sentiment
2505,Joshua Westerfield,5,Works great in my Samsung Galaxy Note 2.Put the memory cards in and go to storage in the settings.  Click format card and off you go.I have not measured read or write speed but i can tell you i can copy over 1Gb video file in just a few seconds.,17-12-2012,721,0,0,0,0,0.0,0.0,works great samsung galaxy note 2.put memory cards go storage settings . click format card go.i measured read write speed tell copy 1gb video file seconds .,POSITIVE,0.8028541803359985,5,POSITIVE
4512,TheSnowman,4,"Works great in my Samsung S4 phone. Being class ten it is designed to write quickly, but somehow my phone's internal storage is faster: minus one star.I have been using this for about a month with zero data loss or other problems.",29-11-2013,374,1,0,1,1,1.0,0.206549314,"works great samsung s4 phone . class ten designed write quickly , somehow phones internal storage faster minus one star.i using month zero data loss problems .",POSITIVE,0.9102416634559631,4,POSITIVE
708,Bravo Papa,5,Works great in my Motorola Atrix 4G.  Consistently reliable - never any problems.  Will definitely purchase SanDisk again in the future.  Keep up the great work!,16-05-2014,206,0,0,0,0,0.0,0.0,works great motorola atrix 4g . consistently reliable never problems . definitely purchase sandisk future . keep great work !,POSITIVE,0.8697544932365417,5,POSITIVE
2339,jlp,5,"i got it to expand the memory on my galaxy note 2.  love it. can hold almost a whole years worth of pictures and videos and other docs.  if my phone took a larger one, i'd get that one too.",13-01-2014,329,0,0,0,0,0.0,0.0,"got expand memory galaxy note 2. love . hold almost whole years worth pictures videos docs . phone took larger one , id get one .",POSITIVE,0.8012610673904419,5,POSITIVE
1427,"Doug Scott ""GRI, Realtor""",5,"For its size, this little disk is absolutely amazing. It does everything as advertised and then some. I will buy more of these disks",31-05-2014,191,0,0,0,0,0.0,0.0,"size , little disk absolutely amazing . everything advertised . buy disks",POSITIVE,0.9336517453193665,5,POSITIVE
820,CaptAdams35,5,"By far the best MicroSD card I've ever used. It's precise, fast and secure, what more can you ask for? Whether it was photos, music or even a few movies, this recorded, played and transferred data flawlessly. Very highly recommend",23-04-2014,229,0,0,0,0,0.0,0.0,"far best microsd card ive ever used . precise , fast secure , ask ? whether photos , music even movies , recorded , played transferred data flawlessly . highly recommend",POSITIVE,0.9581590890884399,5,POSITIVE
2479,Jose Almonte,5,I BOUGHT THIS FOR A TABLET THAT I BOUGHT (Alldaymall(TM) A70X 7 Inch Android 4.2 4 GB A20 Dual-Core Tablet PC) I WAS SKEPTIAL AT FIRST BUT IT WORKED GREAT FOR MY TABLET AND FOR THE PRICE IT BOOSTED MY MEMORY FROM 4 GB TO 36 GB IN TOTAL GOOD PRODUCT!,26-06-2013,530,0,0,0,0,0.0,0.0,bought tablet bought alldaymalltm a70x 7 inch android 4.2 4 gb a20 dualcore tablet pc skeptial first worked great tablet price boosted memory 4 gb 36 gb total good product !,POSITIVE,0.8041543960571289,5,POSITIVE
634,BlakeHarrell,5,Came with adapter as described and works perfectly. I use this SDHC card with my GoPro Hero 3+ black and haven't been able to fill it up yet.,16-03-2014,267,0,0,0,0,0.0,0.0,came adapter described works perfectly . use sdhc card gopro hero 3 black havent able fill yet .,POSITIVE,0.8314156532287598,5,POSITIVE
4100,scout1968,5,"I've never had a defective SanDisk SD card and this is no exception. They are well built and quality control is wonderful. I am especially sold on the 10 speed class and would highly recommend this for any type of media; books, movies, music, etc.",23-12-2013,350,0,0,0,0,0.0,0.0,"ive never defective sandisk sd card exception . well built quality control wonderful . especially sold 10 speed class would highly recommend type media books , movies , music , etc .",POSITIVE,0.8491458296775818,5,POSITIVE
3544,Patrick J Bell II,5,I used these in a home brew project where speed was a major driving factor.  I used two of these in a raid adapter and they were just awesome.,03-05-2013,584,0,0,0,0,0.0,0.0,used home brew project speed major driving factor . used two raid adapter awesome .,POSITIVE,0.8426756858825684,5,POSITIVE
2761,Kyle R McCombs,5,"Works perfect, Price is perfect, Cant beat it! I bought this for my Galaxy Note 10.1 and I now have about 48GB total of storage!",23-11-2013,380,0,0,0,0,0.0,0.0,"works perfect , price perfect , cant beat ! bought galaxy note 10.1 48gb total storage !",POSITIVE,0.9347242712974548,5,POSITIVE
3246,Mitch Brock,5,I bought this for my Microsoft Surface rt and it works great with it. I would recommend it to anyone.,02-09-2014,97,0,0,0,0,0.0,0.0,bought microsoft surface rt works great . would recommend anyone .,POSITIVE,0.8028759956359863,5,POSITIVE
645,Bobby G Scott Jr,5,Class 10 speed works great in my camera takes videos. Finally the price of these decent sized cards are coming down. Well pleased.,26-01-2013,681,0,0,0,0,0.0,0.0,class 10 speed works great camera takes videos . finally price decent sized cards coming . well pleased .,POSITIVE,0.8920600414276123,5,POSITIVE
2198,J-B,5,"Great name brand class 10 card.  Great price, best on the net at the time I bought this one.  It works perfectly and is fast.  Can't go wrong.  Spend the extra couple of bucks for the real deal.  Don't be fooled by a knock off, slow speed, import.",02-03-2013,646,0,0,0,0,0.0,0.0,"great name brand class 10 card . great price , best net time bought one . works perfectly fast . cant go wrong . spend extra couple bucks real deal . dont fooled knock , slow speed , import .",POSITIVE,0.8823501467704773,5,POSITIVE
4802,"William C. Leigh III ""Cole""",5,amazing storage and speed! what more could u want! its almsot cheaper then buying the full sized sd card z,12-12-2012,726,0,0,0,0,0.0,0.0,amazing storage speed ! could u want ! almsot cheaper buying full sized sd card z,POSITIVE,0.9177175164222717,5,POSITIVE
2115,James Hartsell,5,The SanDisk memory card is awesome. I usually only buy SanDisk products because they are very reliable. Very good quality.,01-12-2013,372,0,0,0,0,0.0,0.0,sandisk memory card awesome . usually buy sandisk products reliable . good quality .,POSITIVE,0.8062068223953247,5,POSITIVE
606,BigRig61,5,"A micro card that has 64G still just blows my mind. I put this card in my Galaxy Tab and I love it. It gives me plenty of storage for my music, videos, movies, photos, etc. The speed is awesome too. That makes uploading to it that much more enjoyable. I recommend it.",27-01-2014,315,0,0,0,0,0.0,0.0,"micro card 64g still blows mind . put card galaxy tab love . gives plenty storage music , videos , movies , photos , etc . speed awesome . makes uploading much enjoyable . recommend .",POSITIVE,0.8507865071296692,5,POSITIVE
4163,"Shannon Lastowski ""Queen of Caffeine""",5,"Perfect card for so many uses, holds a lot, no skips or blips. Nice quality at an affordable price, never had a problem with SanDisk and this one is no different.",05-06-2014,186,0,0,0,0,0.0,0.0,"perfect card many uses , holds lot , skips blips . nice quality affordable price , never problem sandisk one different .",POSITIVE,0.8211431503295898,5,POSITIVE
3455,noel perez,5,"love it makes my tablet work so much faster,because it take up alot of memory that would be on the Internal storage,,free's alot of space, I've got a bunch of music and movies downloaded on this Micro card and only using about 1/4 of it memory. thanks I would recommend this,to anyone whole loves music and movies on the GO!",01-01-2014,341,0,0,0,0,0.0,0.0,"love makes tablet work much faster , take alot memory would internal storage , ,frees alot space , ive got bunch music movies downloaded micro card using 14 memory . thanks would recommend , anyone whole loves music movies go !",POSITIVE,0.8522396683692932,5,POSITIVE
3752,"Raymond W. Leung ""rwleung98""",5,I want to upgrade the memory to my Samsung Note II. It is great to be able to instantly double my storage capacity. I am waiting for the 128 GB to down in price.,16-02-2013,660,0,0,0,0,0.0,0.0,want upgrade memory samsung note ii . great able instantly double storage capacity . waiting 128 gb price .,POSITIVE,0.8872052431106567,5,POSITIVE
4564,tl,5,"This was purchased on a special and the price was right!  It works great, plenty of storage space, and the great price sealed the deal!",16-05-2014,206,0,0,0,0,0.0,0.0,"purchased special price right ! works great , plenty storage space , great price sealed deal !",POSITIVE,0.9047771692276001,5,POSITIVE
2072,Ivan Perry &#34;Computer Dude&#34;,5,"Put the memory card in my Microsoft Surface RT and it worked fantastic. No formatting, no setup, it was ready to go right off the bat, plus the price was the best I could find anywhere.",30-01-2013,677,0,0,0,0,0.0,0.0,"put memory card microsoft surface rt worked fantastic . formatting , setup , ready go right bat , plus price best could find anywhere .",POSITIVE,0.868215799331665,5,POSITIVE
473,Arthur J LaForge,5,Works in all my sd devices. I bought this one for my smart phone. plug and play! works great. Would definitely recommend this card and the seller to my friends.,05-10-2014,64,0,0,0,0,0.0,0.0,works sd devices . bought one smart phone . plug play ! works great . would definitely recommend card seller friends .,POSITIVE,0.8186644315719604,5,POSITIVE
130,Alex,5,Bought it for my gopro hero3 camera (silver edition).Working without any problems. Fast!Was pleasantly surprised of the good quality Memory Card Adapter! Now can turn it into my laptop directly.,31-05-2013,556,0,0,0,0,0.0,0.0,bought gopro hero3 camera silver edition.working without problems . fast ! pleasantly surprised good quality memory card adapter ! turn laptop directly .,POSITIVE,0.8213314414024353,5,POSITIVE
1579,eric,5,"First, it is 64 GB. The volume is enough. In addition, it can fit every device for me. I love it.",29-04-2014,223,0,0,0,0,0.0,0.0,"first , 64 gb . volume enough . addition , fit every device . love .",POSITIVE,0.8045248985290527,5,POSITIVE
58,Adam J. Hanson,5,"I ordered this for my new Samsung Galaxy note II, and it works awesome! Installed it, and had no problems. I loaded all my music on it, and didn't even scratch the surface of the capacity of this card! I shouldn't ever have to worry about running outta room with this card. Highly recommended for any smartphone user!",27-01-2013,680,0,0,0,0,0.0,0.0,"ordered new samsung galaxy note ii , works awesome ! installed , problems . loaded music , didnt even scratch surface capacity card ! shouldnt ever worry running outta room card . highly recommended smartphone user !",POSITIVE,0.9142401814460754,5,POSITIVE
756,Bruce E. Harang,5,These ultra SanDisk memory cards work perfectly and for photo work in high pixel count cameras cycle extremely quickly. The,07-06-2013,549,0,0,0,0,0.0,0.0,ultra sandisk memory cards work perfectly photo work high pixel count cameras cycle extremely quickly .,POSITIVE,0.8587737679481506,5,POSITIVE
833,Carlos A. de Souza,5,Sandisk is far away the best memory card ever.I used to this brand because it never fails.The future of this kind is eternal.,01-12-2014,7,0,0,0,0,0.0,0.0,sandisk far away best memory card ever.i used brand never fails.the future kind eternal .,POSITIVE,0.9643831849098206,5,POSITIVE
3206,mike,5,in my Samsung note 2. fast no delays. transfers data in fon and to pc immediately. Good value for a top rated card.,03-11-2014,35,0,0,0,0,0.0,0.0,samsung note 2. fast delays . transfers data fon pc immediately . good value top rated card .,POSITIVE,0.8410086631774902,5,POSITIVE
3269,MMR,5,its perfect and easy to use and conect fast to the camera its give you 9940 photo and 45m video with sony cam 18mp,13-06-2013,543,0,0,0,0,0.0,0.0,perfect easy use conect fast camera give 9940 photo 45m video sony cam 18mp,POSITIVE,0.851238489151001,5,POSITIVE
1598,ERK,5,Bought this to add to my daughter's new ASUS Transformer. Excellent access and storage speed.,07-04-2014,245,0,0,0,0,0.0,0.0,bought add daughters new asus transformer . excellent access storage speed .,POSITIVE,0.8447482585906982,5,POSITIVE
1409,Donald Simms,5,Love it in my new Samsung Galaxy S5 phone.,07-07-2014,154,0,0,0,0,0.0,0.0,love new samsung galaxy s5 phone .,POSITIVE,0.8814148902893066,5,POSITIVE
855,Carrie P Baer,5,Very quick and no problems what so ever. A great storage platform and works great in both my Lenovo tablet and my Samsung phone. I would recommend this to anyone =),23-06-2013,533,0,0,0,0,0.0,0.0,quick problems ever . great storage platform works great lenovo tablet samsung phone . would recommend anyone,POSITIVE,0.827446699142456,5,POSITIVE
2939,Maite Franco,5,Responsible seller. Excellent product,07-10-2014,62,0,0,0,0,0.0,0.0,responsible seller . excellent product,POSITIVE,0.8633816242218018,5,POSITIVE
4816,"William J. Ames ""Jeff Ames""",5,"Man, this 128 (122gb actually) is amazing!  I had a 64gb card and been transferring my apps to the external card and ran out of memory.  With this bad boy, I can move anything I want, load it with tons of music and still have tons of space.  Highly recommended.",22-05-2014,200,0,0,0,0,0.0,0.0,"man , 128 122gb actually amazing ! 64gb card transferring apps external card ran memory . bad boy , move anything want , load tons music still tons space . highly recommended .",POSITIVE,0.8867712616920471,5,POSITIVE
1430,dragon,5,SD is always reliable and top of the line quality. I will always buy SD and none other. Great buy.,06-04-2013,611,0,0,0,0,0.0,0.0,sd always reliable top line quality . always buy sd none . great buy .,POSITIVE,0.8874707818031311,5,POSITIVE
2537,jtoth,5,This card is great for any device that will accept a micro SDHC.  Class 10 write speed is a big bonus for recording high definition video!  I am very satisfied with this purchase.,19-03-2014,264,0,0,0,0,0.0,0.0,card great device accept micro sdhc . class 10 write speed big bonus recording high definition video ! satisfied purchase .,POSITIVE,0.8490335941314697,5,POSITIVE
2915,"L. Williams ""Paddle foot""",5,"class 10 is about the best there is and SanDisk hasn't let me down, except that one time when a lock/unlock broke off of a 32gig SDHC card I once bought. Well, out of about a hundred different memory cards I'de say that ain't a bad run. This works GREAT in my son's/wife's touch pad. If you can get one on sale they are GREAT!",01-12-2014,7,0,0,0,0,0.0,0.0,"class 10 best sandisk hasnt let , except one time lockunlock broke 32gig sdhc card bought . well , hundred different memory cards ide say aint bad run . works great sonswifes touch pad . get one sale great !",POSITIVE,0.9201280474662781,5,POSITIVE
289,Amazon Customer,5,Worked with my Samsung Galaxy S3 perfectly. I finally have the space to take all my current digital content with me when I am on a plane.,10-11-2013,393,0,0,0,0,0.0,0.0,worked samsung galaxy s3 perfectly . finally space take current digital content plane .,POSITIVE,0.8194162249565125,5,POSITIVE
1316,"Derrick B. Smith ""dSharp""",5,"Catch them on sale here on Amazon! High speed, qualitty vendor (SanDisk), high capacity micro sd card. Highly recommended to anyone. Using in my Microsoft Surface and Windows Phone 8.",17-12-2012,721,0,0,0,0,0.0,0.0,"catch sale amazon ! high speed , qualitty vendor sandisk , high capacity micro sd card . highly recommended anyone . using microsoft surface windows phone 8 .",POSITIVE,0.8765196800231934,5,POSITIVE
1274,"D. Diderot ""My life as a person can best be e...",5,"This speedy high capacity memory augmentation recalls more than my 27 years in school. Great price, excellent product. Expect no complaints from your purchase.",05-04-2014,247,0,0,0,0,0.0,0.0,"speedy high capacity memory augmentation recalls 27 years school . great price , excellent product . expect complaints purchase .",POSITIVE,0.8204361200332642,5,POSITIVE
4038,Saminda Nirmal Fonseka,5,I brought this for my wife's Samsung Galaxy S3 phone and it's work perfectly with it. It has a fast read and write speed.,28-09-2013,436,0,0,0,0,0.0,0.0,brought wifes samsung galaxy s3 phone work perfectly . fast read write speed .,POSITIVE,0.8621076345443726,5,POSITIVE
3541,Patrick Cantrell,5,Extremely easy install for Samsung Galaxy Tab 3.  Gives me fast easy storage for movies and games.  Everything you could want from a micro SD.,01-06-2014,190,0,0,0,0,0.0,0.0,extremely easy install samsung galaxy tab 3. gives fast easy storage movies games . everything could want micro sd .,POSITIVE,0.8128076195716858,5,POSITIVE
2082,"Jack J. Modic II ""JayM""",5,Used it on my GoPro Hero 3 and works great found SanDisk to always make excellent products. Money well spent.,04-08-2013,491,0,0,0,0,0.0,0.0,used gopro hero 3 works great found sandisk always make excellent products . money well spent .,POSITIVE,0.8253392577171326,5,POSITIVE
706,"Brandon Williams ""~B*DUB~""",5,"Ayyy what can you say. It works. It used to have a delay for my phone recognizing it and all the data on it, but that may be a phone problem. Got it for $42.99 on black friday. Can't knock it at all. *****FIVE STARS*****",25-12-2012,713,0,0,0,0,0.0,0.0,"ayyy say . works . used delay phone recognizing data , may phone problem . got 42.99 black friday . cant knock . five stars",POSITIVE,0.9774085879325867,5,POSITIVE
375,ANDR D.,5,"Perfect for my GoPro. The size is enough, and the speed (class 10) is what I need to have perfect records, and perfect plays. I don't need the adapter, but it cames in hand for use when sharing the images with friends or backing up on my netbook.",05-01-2013,702,0,0,0,0,0.0,0.0,"perfect gopro . size enough , speed class 10 need perfect records , perfect plays . dont need adapter , cames hand use sharing images friends backing netbook .",POSITIVE,0.8885276317596436,5,POSITIVE
4702,"Vaughn ""The answer man!""",5,"It amazing how much data they can fit on these tiny cards these days.  When I saw this 32gb class 10 card for $20, I snatched it up for my 10&#34; Android tablet to hold my library of kids DVD movies I converted to tablet video for my kids to watch while on the road.  It works great and the kids love it.",17-10-2013,417,0,0,0,0,0.0,0.0,"amazing much data fit tiny cards days . saw 32gb class 10 card 20 , snatched 1034 android tablet hold library kids dvd movies converted tablet video kids watch road . works great kids love .",POSITIVE,0.9111235737800598,5,POSITIVE
661,BoFiS,5,Great microSD card for your phone to upgrade you with additional 32 gigs of space.  The beauty of having a huge microSD in your phone is that you can store all of your music and pictures and stuff on there and then swap it into a new phone or replacement when that happens and not have to transfer anything over manually.,11-03-2013,637,0,0,0,0,0.0,0.0,great microsd card phone upgrade additional 32 gigs space . beauty huge microsd phone store music pictures stuff swap new phone replacement happens transfer anything manually .,POSITIVE,0.8119369149208069,5,POSITIVE
28,ABailey8833,5,"I purchased two of these one for my Samsung tablet and one for my samsung galaxy note. Great hardware that is truly speedy, responsive and meets my needs!",28-12-2012,710,1,0,1,1,1.0,0.206549314,"purchased two one samsung tablet one samsung galaxy note . great hardware truly speedy , responsive meets needs !",POSITIVE,0.9040331840515137,5,POSITIVE
4844,"Wolfsatz Domain ""Wolfdorf""",5,MicroSCHC works as expected and have not had any issue whatsoever.  Excellent way to upgrade memory on your mobile device.Highly Recommended.,07-12-2013,366,0,0,0,0,0.0,0.0,microschc works expected issue whatsoever . excellent way upgrade memory mobile device.highly recommended .,POSITIVE,0.8247165083885193,5,POSITIVE
4607,TonyBOY,5,great price for such a super big storage. works well and so far no problem. will highly recommend for smartphones and tablets.,27-08-2012,833,0,0,0,0,0.0,0.0,great price super big storage . works well far problem . highly recommend smartphones tablets .,POSITIVE,0.8259464502334595,5,POSITIVE
1683,Franklin Tineo,5,"the best quality there is in memories is super fast, wonderful and cantiad of gigas is very good, the best brand and speed",18-02-2013,658,0,0,0,0,0.0,0.0,"best quality memories super fast , wonderful cantiad gigas good , best brand speed",POSITIVE,0.8858633637428284,5,POSITIVE
4455,Ted,5,Added this to my Microsoft Surface RT tablet and it works perfectly and is extremely fast. Perfect for storing videos!,02-03-2013,646,0,0,0,0,0.0,0.0,added microsoft surface rt tablet works perfectly extremely fast . perfect storing videos !,POSITIVE,0.9360595345497131,5,POSITIVE
950,Chrisinhouston,5,"Amazing how they keep making bigger storage cards and the price goes down. Wow, these are nice for holding lots of stuff",02-03-2014,281,0,0,0,0,0.0,0.0,"amazing keep making bigger storage cards price goes . wow , nice holding lots stuff",POSITIVE,0.8849198222160339,5,POSITIVE
657,Bo Bland,5,Great price and it works perfectly in the Hero 3. No need to pay the store's high prices for these type of items. Amazon is the way to go.,24-06-2013,532,0,0,0,0,0.0,0.0,great price works perfectly hero 3. need pay stores high prices type items . amazon way go .,POSITIVE,0.927985668182373,5,POSITIVE
1876,Grey Shealy,5,This is a terrific memory card! I use it with my go pro to capture 1080 video and its got ALOT of space!,21-03-2014,262,0,0,0,0,0.0,0.0,terrific memory card ! use go pro capture 1080 video got alot space !,POSITIVE,0.9320135116577148,5,POSITIVE
4721,Victor Johnson,5,Works great in my Samsung Note 2 and Samsung Ativ 500T. Just slide it in and nothing else to do!,18-03-2013,630,0,0,0,0,0.0,0.0,works great samsung note 2 samsung ativ 500t . slide nothing else !,POSITIVE,0.819421648979187,5,POSITIVE
2923,"Lynn ""LS""",5,"I was looking for the maximum storage I could add to my SD card slot on my Samsung Galaxy S4. While Samsung only recommends using standard MicroSD cards, this MicroSDXC card works perfectly and offers great speeds. If you need a card to expand your Galaxy S4's storage, this is the go-to card for you.",25-08-2013,470,0,0,0,0,0.0,0.0,"looking maximum storage could add sd card slot samsung galaxy s4 . samsung recommends using standard microsd cards , microsdxc card works perfectly offers great speeds . need card expand galaxy s4s storage , goto card .",POSITIVE,0.8225452899932861,5,POSITIVE
134,Alex Pomilio,5,"Works perfectly and for a fair price, it is immediately recognized by any device you use it . Good purchase!",02-07-2014,159,0,0,0,0,0.0,0.0,"works perfectly fair price , immediately recognized device use . good purchase !",POSITIVE,0.8213480114936829,5,POSITIVE
3559,Paul,5,This is the best in its kind... works really fast. beside I like the color of this micro sd card,08-08-2013,487,0,0,0,0,0.0,0.0,best kind ... works really fast . beside like color micro sd card,POSITIVE,0.8643660545349121,5,POSITIVE
3746,ray,5,"best buy wants almost a hundred dollars for this chip.it works perfectly in my samsung galaxy S111.  this is a outstanding phone.it was updated to jellybean 4.3.  it works flawlessly.i now have all the memory that i need in my phone.the sandisk warranty is outstanding.i doubt that i will ever have to use it.if you need to buy any chips,get them from amazon,they are much cheaper.best buy is getting greedy.",17-12-2013,356,0,0,0,0,0.0,0.0,"best buy wants almost hundred dollars chip.it works perfectly samsung galaxy s111 . outstanding phone.it updated jellybean 4.3. works flawlessly.i memory need phone.the sandisk warranty outstanding.i doubt ever use it.if need buy chips , get amazon , much cheaper.best buy getting greedy .",POSITIVE,0.8155056834220886,5,POSITIVE
4040,sammy,5,"SanDisk Ultra 64 GB microSDXC Class 10 UHS-1 Memory Card 30MB/s, super fast awesome memory card for my Samsung Galaxy Note 2",28-12-2012,710,0,0,0,0,0.0,0.0,"sandisk ultra 64 gb microsdxc class 10 uhs1 memory card 30mbs , super fast awesome memory card samsung galaxy note 2",POSITIVE,0.847368061542511,5,POSITIVE
3063,mauro,5,"a very nice addition to my note 8 inch wifi!, excellent, know this brand as it is the same that I use in my camera nikon d7000, so I'm very happy with this unit memory, it gives me more flexibility, and class-ten to be very quick.",25-11-2013,378,0,0,0,0,0.0,0.0,"nice addition note 8 inch wifi ! , excellent , know brand use camera nikon d7000 , im happy unit memory , gives flexibility , classten quick .",POSITIVE,0.8418091535568237,5,POSITIVE
4382,superkel,5,This works great with my GoPro Hero 3+. It is able to shoot at the 60 and 120p without any problems or delay.,01-09-2014,98,0,0,0,0,0.0,0.0,works great gopro hero 3. able shoot 60 120p without problems delay .,POSITIVE,0.8073534369468689,5,POSITIVE
2294,#NAME?,5,"tested the SD card speed through the play store app, gets the speeds advertised and allows me to download more tv shows for my trips! perfect",21-11-2013,382,0,0,0,0,0.0,0.0,"tested sd card speed play store app , gets speeds advertised allows download tv shows trips ! perfect",POSITIVE,0.827424943447113,5,POSITIVE
1251,Dayne Putnam,5,"Works great with both models of DashCam I purchased.The Blackvue Dr400G-HD and DR500GW-HD.32GB works wonders for a constantly on dash cam,",18-02-2013,658,0,0,0,0,0.0,0.0,"works great models dashcam purchased.the blackvue dr400ghd dr500gwhd.32gb works wonders constantly dash cam ,",POSITIVE,0.8311852812767029,5,POSITIVE
